,6zsl_A_fpocket,6zsl_B_fpocket,6zsl_A_p2rank,6zsl_B_p2rank,IoU
156,1,10,1,3,0.015205
2859,9,2,1,2,0.015205
166,1,10,6,3,0.015205
6148,27,3,2,1,0.015205
3931,14,9,9,11,0.01515
3951,14,13,9,11,0.01515
1963,6,5,6,3,0.01515
3911,14,6,12,13,0.01515
7133,38,15,3,3,0.01515
524,2,6,3,2,0.01515
3796,13,25,9,11,0.01515
1964,6,5,6,7,0.01515
946,3,6,12,13,0.01515
4785,19,4,8,5,0.01515
2458,8,1,12,13,0.01515
2453,8,1,6,3,0.01515
529,2,6,6,3,0.01515
1626,5,6,6,3,0.01509
3016,10,1,6,3,0.01509
3011,10,1,3,2,0.01509
3007,10,1,1,3,0.01509
1917,6,2,3,2,0.01509
1922,6,2,6,3,0.01509
1923,6,2,6,7,0.01509
126,1,8,1,9,0.01509
6003,26,13,7,8,0.015076
520,2,6,1,3,0.01504
5100,21,21,1,2,0.01504
5537,24,1,13,9,0.01504
5938,26,3,13,9,0.01504
4607,18,4,2,1,0.015
4834,19,10,2,1,0.015
2050,6,14,1,4,0.015
4839,19,10,8,1,0.015
2443,8,1,1,9,0.014984
1913,6,2,1,3,0.014984
274,1,21,9,11,0.014984
235,1,16,9,11,0.014984
3903,14,6,1,4,0.01492
6926,34,34,12,8,0.01492
7107,37,37,1,7,0.01492
4964,21,1,3,3,0.01492
2264,7,7,7,6,0.01492
4162,15,15,6,3,0.01492
1610,5,5,8,1,0.01492
3745,13,15,3,3,0.01492
3446,11,25,10,10,0.01492
4966,21,1,9,11,0.01492
6924,34,34,7,13,0.01492
1612,5,5,9,11,0.01492
494,2,4,8,5,0.01487
1264,4,2,8,5,0.01487
534,2,6,12,13,0.01487
4305,16,10,6,3,0.014854
2347,7,19,3,3,0.014854
884,3,3,8,5,0.014854
1950,6,4,3,3,0.01482
6666,32,11,7,6,0.01482
3579,12,28,9,11,0.01482
4809,19,7,3,3,0.01478
4930,19,26,3,3,0.01478
4856,19,15,3,3,0.01478
823,3,1,3,2,0.01476
829,3,1,6,3,0.01476
819,3,1,1,9,0.01476
816,3,1,1,3,0.01476
834,3,1,12,13,0.01476
5954,26,5,13,9,0.01476
1258,4,2,3,3,0.01471
6939,34,38,3,12,0.01471
4725,18,26,3,3,0.01471
488,2,4,3,3,0.01471
1816,5,24,1,2,0.01471
1181,3,26,13,9,0.01471
5103,21,21,1,9,0.01471
6112,26,33,12,13,0.01471
4538,17,28,9,11,0.01471
4974,21,2,3,3,0.01471
821,3,1,2,1,0.01465
5678,24,16,9,11,0.01463
4277,16,6,6,3,0.01463
6187,27,7,3,3,0.01463
3564,12,22,12,13,0.014595
6101,26,32,7,6,0.014595
2270,7,7,12,13,0.014595
6288,27,34,12,13,0.014595
1500,4,34,1,2,0.014565
2160,6,31,3,3,0.014565
5961,26,7,5,6,0.014565
4630,18,7,2,1,0.014565
4040,14,27,1,4,0.014565
1416,4,19,1,14,0.014565
1232,3,37,3,2,0.014565
45,1,3,1,3,0.01455
62,1,3,12,13,0.01455
57,1,3,6,3,0.01455
497,2,5,1,3,0.01455
504,2,5,3,2,0.01455
48,1,3,1,9,0.01455
51,1,3,3,2,0.01455
513,2,5,6,3,0.01455
516,2,5,8,5,0.01455
492,2,4,5,6,0.014496
6463,29,8,6,7,0.014496
3158,10,10,4,5,0.014496
4932,19,27,1,2,0.014496
7128,38,9,3,12,0.014496
6108,26,33,7,6,0.014496
311,1,24,13,9,0.014496
5492,23,23,13,9,0.014496
7155,38,35,3,3,0.014496
6992,35,35,3,3,0.014496
1262,4,2,5,6,0.014496
6972,35,19,1,2,0.014496
3791,13,25,3,3,0.014496
6973,35,19,1,4,0.014496
6222,27,14,1,4,0.014496
2900,9,8,1,14,0.014496
1546,5,2,6,3,0.01444
1525,5,1,6,3,0.01444
1549,5,2,8,5,0.01444
763,2,27,2,1,0.01444
1536,5,2,2,1,0.01444
4144,15,13,3,3,0.01442
2692,8,17,1,9,0.01442
3180,10,13,5,6,0.01442
3138,10,9,1,2,0.01442
6105,26,32,12,13,0.01439
571,2,9,1,2,0.01439
5295,22,29,13,9,0.01439
3481,11,37,1,2,0.01439
5779,25,1,3,3,0.01439
5893,25,25,12,13,0.01439
6710,32,26,12,13,0.01439
4513,17,22,12,13,0.01439
7127,38,9,3,3,0.01439
2438,7,38,3,12,0.01439
6706,32,26,7,6,0.01439
4509,17,22,7,6,0.01439
1185,3,27,2,1,0.01439
2735,8,22,5,6,0.01435
4780,19,4,1,14,0.01435
2642,8,12,10,10,0.01435
1405,4,18,1,9,0.01435
1228,3,37,1,3,0.01428
2437,7,38,3,3,0.01428
5294,22,29,12,13,0.01428
5208,22,8,5,6,0.01428
3139,10,9,1,4,0.01428
3935,14,10,1,4,0.01428
4939,19,28,9,11,0.01428
3926,14,9,1,2,0.01428
1488,4,28,1,14,0.01428
6858,34,18,2,1,0.01428
5230,22,12,12,13,0.01428
1518,5,1,1,9,0.01428
415,2,1,3,2,0.01424
25,1,2,1,3,0.01424
421,2,1,6,3,0.01424
37,1,2,6,3,0.01424
408,2,1,1,3,0.01424
31,1,2,3,2,0.01424
6320,28,4,1,14,0.01422
4605,18,4,1,9,0.01422
7016,37,3,3,2,0.01422
2739,8,22,13,9,0.01422
6537,29,22,13,9,0.01418
2445,8,1,2,1,0.01418
413,2,1,2,1,0.01418
6608,31,6,3,3,0.01415
4909,19,23,1,2,0.01415
1871,5,32,5,6,0.01415
6460,29,8,1,9,0.01415
5212,22,8,13,9,0.01415
1803,5,22,13,9,0.01415
809,2,37,3,2,0.01415
5873,25,21,3,3,0.01415
2925,9,14,1,2,0.01415
2929,9,14,3,3,0.014084
6920,34,34,3,12,0.014084
6938,34,38,3,3,0.014084
7027,37,5,1,3,0.014084
6536,29,22,12,13,0.014084
3698,13,10,5,6,0.014084
6686,32,14,12,13,0.014084
7136,38,16,3,12,0.014084
2798,8,28,1,14,0.014084
5079,21,17,9,11,0.014084
2187,7,1,2,1,0.014084
5,1,1,1,14,0.014084
80,1,5,1,9,0.01404
83,1,5,3,2,0.01404
77,1,5,1,3,0.01404
88,1,5,6,3,0.01404
4438,17,8,1,9,0.014015
3175,10,13,3,3,0.014015
7007,37,2,3,2,0.014015
3212,10,16,6,3,0.014015
7031,37,5,3,2,0.014015
3117,10,7,5,6,0.014015
7135,38,16,3,3,0.013985
3958,14,14,3,2,0.013985
6896,34,27,12,13,0.013985
5489,23,23,6,7,0.013985
5260,22,19,4,5,0.013985
2257,7,7,3,12,0.013985
3156,10,10,3,12,0.013985
3120,10,7,8,5,0.013954
6182,27,6,9,11,0.013954
5841,25,13,9,11,0.013954
1860,5,28,9,11,0.013954
2889,9,6,1,4,0.013954
7012,37,3,1,3,0.013954
1323,4,6,3,3,0.01394
5795,25,3,3,3,0.01394
5787,25,2,3,3,0.013885
6593,30,12,10,10,0.013885
4156,15,15,1,2,0.013885
3073,10,4,8,1,0.013885
5407,23,9,1,2,0.013885
5661,24,14,9,11,0.013885
16,1,1,7,8,0.013885
2807,8,29,6,7,0.013885
5157,21,32,5,6,0.013885
6922,34,34,6,13,0.013885
4464,17,12,9,11,0.013885
5355,23,4,1,9,0.013885
5409,23,9,1,9,0.013885
3687,13,9,3,3,0.013824
2734,8,22,3,3,0.013824
6335,28,8,1,14,0.013824
2076,6,16,6,3,0.013824
3582,12,29,6,13,0.013794
3581,12,29,6,7,0.013794
3834,13,34,7,8,0.013794
3333,10,38,3,12,0.013794
1366,4,10,8,1,0.01376
2703,8,18,1,9,0.01376
1246,4,1,3,3,0.01375
1243,4,1,2,1,0.01375
4326,16,16,1,2,0.0137
2156,6,29,9,11,0.0137
3332,10,38,3,3,0.0137
3838,13,37,1,2,0.0137
5441,23,14,1,4,0.0137
5016,21,6,3,3,0.0137
4953,19,35,1,4,0.0137
4952,19,35,1,2,0.0137
2546,8,6,3,2,0.0137
2541,8,6,1,3,0.0137
3695,13,10,3,3,0.0137
2353,7,21,3,3,0.0137
1879,5,34,3,3,0.0137
6650,32,5,5,6,0.0137
72,1,4,3,3,0.01365
2601,8,9,1,14,0.01363
805,2,37,1,3,0.01363
6435,29,4,1,9,0.01363
5019,21,7,3,3,0.01363
2743,8,23,1,9,0.01363
2389,7,26,7,8,0.01363
2386,7,26,5,6,0.01363
6745,34,1,7,8,0.01363
3783,13,24,3,3,0.01363
6598,30,31,10,10,0.0136
7124,38,7,3,12,0.0136
5046,21,10,3,3,0.01357
2082,6,18,1,2,0.01357
6448,29,6,6,7,0.01357
1875,5,34,1,2,0.01357
2804,8,29,1,9,0.01357
2396,7,27,3,3,0.01357
4125,15,8,10,10,0.01357
1241,4,1,1,9,0.01356
5195,22,5,13,9,0.01351
4866,19,17,13,9,0.01351
6861,34,19,1,4,0.01351
6654,32,7,7,6,0.01351
7003,37,2,1,3,0.01351
7123,38,7,3,3,0.01351
2293,7,10,5,6,0.01351
3401,11,12,5,6,0.01351
3389,11,11,1,2,0.01351
3155,10,10,3,7,0.01351
2555,8,6,10,10,0.01351
1689,5,10,5,6,0.01351
3387,11,10,5,6,0.01351
68,1,4,1,9,0.013466
3660,13,6,9,11,0.01345
4416,17,4,1,9,0.01345
6612,31,8,3,3,0.01345
2296,7,10,8,5,0.01345
1859,5,28,1,14,0.01345
6297,27,37,3,2,0.01342
6963,35,10,1,2,0.01342
6842,34,14,7,8,0.01342
6836,34,13,7,8,0.01342
6847,34,15,3,3,0.01342
1769,5,19,1,14,0.01339
1775,5,19,8,1,0.01339
1801,5,22,8,1,0.01339
3171,10,11,5,6,0.01339
2681,8,15,10,10,0.01339
2877,9,4,1,14,0.01339
6255,27,23,3,3,0.01339
5399,23,8,1,9,0.013336
4009,14,23,1,4,0.013336
4504,17,21,9,11,0.013336
3954,14,14,1,3,0.013336
6484,29,12,6,7,0.013336
4289,16,8,6,3,0.013336
6485,29,12,6,13,0.013336
3331,10,37,6,7,0.013336
3402,11,12,7,8,0.013336
5493,23,24,1,2,0.013336
6964,35,10,1,4,0.013336
3719,13,13,1,2,0.013336
2746,8,23,3,3,0.013275
5716,24,23,1,2,0.013275
4634,18,8,1,9,0.013275
6116,26,34,12,13,0.013245
4499,17,19,13,9,0.013245
6057,26,22,12,13,0.013245
4906,19,22,4,5,0.013245
2623,8,10,5,6,0.013214
1750,5,17,5,6,0.013214
2660,8,14,1,4,0.013214
1397,4,17,1,9,0.013214
6702,32,23,5,6,0.01316
6053,26,22,7,6,0.01316
4015,14,24,1,2,0.01316
6266,27,27,3,2,0.01316
1990,6,8,1,3,0.01316
3424,11,17,7,6,0.01316
2612,8,10,1,3,0.01316
3547,12,14,9,11,0.01316
1995,6,8,3,2,0.01316
5078,21,17,5,6,0.01316
6729,32,33,12,8,0.01316
350,1,28,1,14,0.01316
2113,6,23,3,3,0.01316
2618,8,10,3,2,0.0131
5504,23,27,3,3,0.0131
5648,24,13,3,3,0.0131
5193,22,5,8,1,0.0131
6303,28,1,1,14,0.01305
401,1,37,3,2,0.01305
1096,3,19,1,14,0.01305
5655,24,14,1,2,0.01305
2004,6,8,10,10,0.01305
969,3,8,3,2,0.012985
6728,32,33,7,13,0.012985
6921,34,34,4,1,0.012985
6032,26,17,12,13,0.012985
6028,26,17,7,6,0.012985
4766,19,3,1,14,0.012985
2953,9,19,13,9,0.012985
4818,19,8,1,14,0.012985
3132,10,8,5,6,0.012985
5522,23,37,3,2,0.012985
398,1,37,1,3,0.012985
5402,23,8,3,3,0.012985
3915,14,8,1,4,0.012985
3089,10,5,5,6,0.012985
2815,8,31,3,3,0.012985
966,3,8,1,14,0.012985
1587,5,4,8,1,0.01293
1103,3,19,8,5,0.01293
1448,4,23,1,9,0.01293
6643,32,1,7,8,0.01293
3557,12,19,9,11,0.0129
2408,7,32,7,6,0.0129
3578,12,27,12,13,0.0129
5483,23,23,3,2,0.0129
4864,19,17,9,11,0.0129
5510,23,32,5,6,0.0129
4220,15,30,10,10,0.0129
1693,5,10,8,1,0.01288
6994,37,1,1,3,0.01288
6998,37,1,3,2,0.01288
1084,3,18,1,9,0.01288
3122,10,8,1,3,0.01288
1081,3,18,1,2,0.01288
5833,25,10,3,3,0.01288
1586,5,4,5,6,0.01288
3322,10,35,3,3,0.01282
6325,28,5,1,14,0.01282
2233,7,4,8,5,0.01282
4217,15,28,9,11,0.01282
1196,3,28,1,14,0.01282
6594,30,15,10,10,0.01282
2713,8,19,1,14,0.01282
3520,12,11,5,6,0.01282
1014,3,10,8,5,0.01282
3127,10,8,3,2,0.01282
2488,8,3,1,14,0.012764
962,3,8,1,3,0.012764
2381,7,25,3,3,0.012764
1098,3,19,3,3,0.012764
1334,4,7,8,5,0.012764
2491,8,3,3,2,0.012764
4768,19,3,3,3,0.012764
4948,19,34,1,4,0.01274
5998,26,12,12,13,0.01274
6217,27,12,12,13,0.01274
6294,27,37,1,3,0.01274
3093,10,5,8,1,0.01271
1492,4,29,1,9,0.01271
4791,19,5,1,14,0.01271
4798,19,5,8,5,0.01271
5970,26,8,5,6,0.01271
1748,5,17,1,9,0.01271
1666,5,9,1,14,0.01271
5174,22,3,2,1,0.01271
2046,6,13,9,11,0.01271
5288,22,26,12,13,0.01266
5180,22,3,13,9,0.01266
5602,24,7,3,3,0.01266
5839,25,12,12,13,0.01266
3521,12,11,7,8,0.01266
6725,32,33,5,8,0.01266
6510,29,17,1,9,0.01266
2415,7,33,7,6,0.01266
894,3,4,1,14,0.01266
6639,31,36,7,8,0.01266
6326,28,5,9,11,0.01266
4497,17,19,9,11,0.01266
7065,37,11,1,2,0.01266
904,3,4,8,5,0.0126
389,1,34,7,8,0.0126
1579,5,4,1,14,0.0126
6280,27,34,1,4,0.01258
3559,12,21,9,11,0.01258
2430,7,35,3,3,0.01258
5520,23,37,1,3,0.01258
7130,38,10,3,12,0.01258
1757,5,18,1,9,0.01255
4623,18,6,1,2,0.01255
1313,4,5,8,1,0.01255
1132,3,22,13,9,0.01255
2484,8,3,1,3,0.01255
3059,10,3,8,5,0.01255
6425,29,3,1,9,0.01255
6428,29,3,6,7,0.01255
1304,4,5,1,14,0.01255
5179,22,3,8,5,0.01255
5479,23,23,1,3,0.0125
5168,22,2,2,1,0.0125
6262,27,27,1,3,0.0125
3543,12,14,6,7,0.0125
4797,19,5,8,1,0.0125
4792,19,5,2,1,0.0125
3320,10,35,1,2,0.0125
1312,4,5,5,6,0.0125
3544,12,14,6,13,0.0125
4503,17,21,5,6,0.0125
4756,19,2,3,3,0.0125
7129,38,10,3,3,0.0125
6395,28,28,13,14,0.0125
1009,3,10,5,6,0.0125
2922,9,12,10,10,0.0125
1270,4,3,1,14,0.0125
6735,32,36,7,8,0.0125
6313,28,3,1,14,0.0125
2689,8,16,6,3,0.0125
4594,18,3,1,9,0.01245
4591,18,3,1,2,0.01245
1789,5,21,9,11,0.01245
1131,3,22,8,5,0.01245
1280,4,3,8,5,0.01245
5368,23,5,1,9,0.01245
1975,6,6,3,7,0.01242
1293,4,4,4,5,0.01242
5284,22,26,7,6,0.01242
4410,17,3,1,9,0.0124
2116,6,24,1,2,0.0124
6601,31,2,3,3,0.0124
1075,3,17,1,9,0.0124
245,1,18,1,2,0.0124
248,1,18,1,9,0.0124
858,3,2,8,5,0.0124
2776,8,26,5,6,0.0124
6441,29,5,1,9,0.012344
4423,17,5,5,6,0.012344
5885,25,25,1,2,0.012344
4596,18,3,2,1,0.012344
6619,31,15,3,3,0.012344
5386,23,6,3,3,0.012344
4574,18,1,1,9,0.012344
3321,10,35,1,4,0.012344
4571,18,1,1,2,0.012344
4421,17,5,1,9,0.012344
2883,9,5,1,14,0.012344
5837,25,12,9,11,0.012344
680,2,19,3,3,0.012344
2869,9,3,1,14,0.012344
3711,13,12,5,6,0.012344
4232,16,1,6,3,0.0123
6163,27,4,3,3,0.0123
1648,5,8,1,14,0.0123
4171,15,16,9,11,0.01227
5724,24,24,1,9,0.01227
3534,12,13,5,6,0.01227
7064,37,10,6,7,0.01227
6606,31,5,3,3,0.012245
1642,5,7,8,5,0.012245
6407,29,1,6,7,0.012245
2775,8,26,3,3,0.012245
3054,10,3,5,6,0.012245
1632,5,7,2,1,0.012245
5371,23,5,3,3,0.012245
146,1,9,1,14,0.01219
6888,34,27,1,4,0.01219
6394,28,28,13,9,0.01219
7043,37,7,1,2,0.01219
3871,14,3,1,4,0.01219
596,2,10,5,6,0.01219
372,1,32,7,8,0.01219
6819,34,10,1,4,0.01219
6820,34,10,3,2,0.01219
5241,22,13,12,13,0.01219
4874,19,18,13,9,0.01219
6599,31,1,3,3,0.01219
475,2,3,8,5,0.01219
3569,12,25,12,13,0.01219
6917,34,34,2,3,0.01219
1043,3,14,1,4,0.012146
1864,5,29,1,9,0.012146
2378,7,24,3,3,0.012146
201,1,14,1,4,0.012146
152,1,9,9,11,0.012146
1351,4,9,1,14,0.012146
2581,8,8,3,7,0.01212
5514,23,34,1,4,0.01212
5221,22,11,7,6,0.01212
5234,22,13,5,6,0.01212
4456,17,11,7,6,0.01212
2589,8,8,6,13,0.01212
6818,34,10,1,3,0.01212
377,1,33,7,8,0.0121
3033,10,2,5,6,0.0121
2469,8,2,3,2,0.0121
380,1,33,12,13,0.0121
666,2,18,1,2,0.0121
6355,28,15,9,11,0.01205
3858,14,2,1,4,0.01205
3769,13,21,5,6,0.01205
1806,5,23,1,9,0.01205
5599,24,6,9,11,0.01205
1729,5,14,9,11,0.01205
2524,8,5,1,14,0.01205
2419,7,33,12,13,0.01205
4615,18,5,1,9,0.01205
3844,14,1,1,4,0.01205
4612,18,5,1,2,0.01205
1983,6,6,12,13,0.01205
2520,8,5,1,3,0.01205
3620,13,2,3,3,0.01205
1202,3,29,1,9,0.012
4586,18,2,2,1,0.012
3486,12,1,7,8,0.012
1707,5,13,3,3,0.012
1205,3,29,6,7,0.012
2527,8,5,3,2,0.012
3632,13,3,3,3,0.012
5343,23,3,1,9,0.012
2854,9,1,1,14,0.012
6603,31,3,3,3,0.012
6526,29,19,13,9,0.01198
2592,8,8,9,11,0.01198
2174,6,35,3,3,0.01198
2590,8,8,7,6,0.01198
3433,11,22,7,6,0.01198
2591,8,8,7,8,0.01198
3712,13,12,6,7,0.01198
3542,12,14,5,6,0.01198
5239,22,13,8,5,0.01198
3713,13,12,6,13,0.01198
4841,19,12,9,11,0.01198
6404,29,1,1,9,0.011955
912,3,5,1,14,0.011955
4582,18,2,1,2,0.011955
4747,19,1,3,3,0.011955
5591,24,6,1,2,0.011955
927,3,5,8,5,0.011955
3535,12,13,6,7,0.0119
3568,12,25,9,11,0.0119
2462,8,2,1,3,0.0119
1571,5,3,8,5,0.0119
3536,12,13,6,13,0.0119
3817,13,29,9,11,0.0119
1557,5,3,1,14,0.0119
3254,10,22,4,5,0.0119
3778,13,22,12,13,0.0119
1706,5,13,2,1,0.0119
4533,17,26,12,13,0.0119
5825,25,8,10,10,0.0119
5723,24,24,1,4,0.0119
4541,17,29,1,9,0.0119
1747,5,16,9,11,0.011856
4242,16,2,6,3,0.011856
616,2,13,3,3,0.011856
4402,17,1,7,8,0.011856
2247,7,5,8,5,0.011856
2772,8,25,10,10,0.011856
3884,14,4,1,4,0.011856
4405,17,1,12,13,0.011856
1029,3,13,3,3,0.011856
5567,24,4,1,2,0.011856
557,2,8,3,2,0.011856
5346,23,3,3,3,0.011856
632,2,14,1,4,0.011856
7067,37,13,1,2,0.01183
6876,34,23,1,4,0.01183
3773,13,22,5,6,0.01183
5053,21,12,9,11,0.01183
6419,29,2,6,7,0.01181
1721,5,14,1,4,0.01181
4252,16,3,6,3,0.01181
1339,4,8,1,14,0.01181
3892,14,5,1,4,0.011765
4529,17,26,7,6,0.011765
3899,14,5,9,11,0.011765
5773,24,37,1,2,0.011765
5455,23,17,5,6,0.011765
5246,22,14,12,13,0.011765
6732,32,34,7,13,0.011765
2848,8,37,6,7,0.011765
346,1,27,9,11,0.01172
285,1,22,7,8,0.01172
2510,8,4,1,14,0.01172
4269,16,5,9,11,0.01172
4746,19,1,1,14,0.01172
5338,23,2,8,5,0.01172
2933,9,15,10,10,0.011696
3814,13,29,6,13,0.011696
6479,29,11,7,8,0.011696
4829,19,9,13,9,0.011696
6519,29,18,1,9,0.011696
3946,14,12,9,11,0.011696
3455,11,29,7,8,0.011696
239,1,17,7,8,0.01167
550,2,8,1,3,0.01167
242,1,17,12,13,0.01167
260,1,19,3,3,0.01167
986,3,9,1,14,0.01167
5605,24,8,1,2,0.01167
7087,37,23,3,2,0.01163
4690,18,19,13,9,0.01163
3646,13,5,3,3,0.01163
5009,21,5,9,11,0.01163
4490,17,17,13,14,0.01163
5201,22,7,7,6,0.01163
4267,16,5,6,3,0.01163
2947,9,19,1,2,0.01163
4487,17,17,12,8,0.01163
6733,32,34,12,8,0.01163
3980,14,17,9,11,0.01163
6692,32,17,12,8,0.01163
359,1,29,6,7,0.01163
1343,4,8,3,3,0.01158
5331,23,2,3,3,0.01158
2752,8,24,1,2,0.01158
4325,16,15,9,11,0.01156
4208,15,25,9,11,0.01156
7096,37,27,3,2,0.01156
1971,6,6,1,9,0.01156
2363,7,22,7,6,0.01156
3605,13,1,3,3,0.011536
4399,17,1,1,9,0.011536
1745,5,16,6,3,0.011536
784,2,31,3,3,0.011536
5516,23,34,3,3,0.0115
3317,10,34,3,2,0.0115
2514,8,4,3,3,0.0115
5164,22,1,7,8,0.0115
4897,19,21,9,11,0.0115
7154,38,34,3,12,0.0115
6691,32,17,7,13,0.0115
6906,34,32,7,13,0.0115
1136,3,23,1,9,0.0115
6641,31,38,3,12,0.0115
2172,6,35,1,2,0.0115
259,1,19,1,14,0.0115
5821,25,8,3,3,0.0115
4485,17,17,7,13,0.0115
1965,6,5,9,11,0.0115
5205,22,7,8,5,0.0115
6814,34,8,12,13,0.01143
5454,23,17,1,9,0.01143
4945,19,29,13,9,0.01143
4476,17,14,9,11,0.01143
2367,7,22,8,5,0.01143
4185,15,21,9,11,0.01143
6096,26,29,12,13,0.01143
1381,4,14,1,4,0.011406
1485,4,27,3,3,0.011406
369,1,31,3,3,0.011406
6907,34,32,12,8,0.01136
2860,9,2,1,4,0.01136
1628,5,6,9,11,0.01136
5274,22,22,12,8,0.01136
5271,22,22,7,13,0.01136
356,1,29,1,9,0.01136
4169,15,16,6,3,0.01136
4322,16,15,3,12,0.01136
236,1,17,1,9,0.01136
233,1,16,6,3,0.01132
1139,3,23,3,3,0.01132
123,1,8,1,3,0.01132
127,1,8,1,14,0.01132
129,1,8,3,2,0.01132
5097,21,19,9,11,0.0113
7085,37,23,1,3,0.0113
2173,6,35,1,4,0.0113
6458,29,7,12,13,0.0113
3767,13,21,3,3,0.0113
6807,34,8,1,4,0.0113
4491,17,18,1,9,0.0113
6275,27,29,12,13,0.0113
5113,21,22,3,3,0.0113
6934,34,37,1,4,0.01124
6931,34,35,3,12,0.01124
3246,10,22,1,2,0.01124
2440,8,1,1,3,0.01124
6935,34,37,2,1,0.01124
275,1,21,13,9,0.01124
2444,8,1,1,14,0.01124
2447,8,1,3,2,0.01124
6878,34,23,3,3,0.01124
3736,13,14,5,6,0.01124
5216,22,10,4,5,0.01124
4521,17,24,9,11,0.01124
4967,21,1,13,9,0.01119
3369,11,7,7,6,0.01117
3316,10,34,1,4,0.01117
4294,16,9,3,12,0.01117
6237,27,16,9,11,0.01117
3315,10,34,1,3,0.01117
6503,29,14,6,13,0.01117
6493,29,13,6,13,0.01117
4898,19,21,13,9,0.01117
5525,24,1,1,2,0.011154
1458,4,24,1,2,0.011154
180,1,12,7,8,0.011154
6688,32,17,5,8,0.01111
3596,12,33,12,8,0.01111
4482,17,17,5,8,0.01111
6250,27,22,3,3,0.01111
779,2,29,6,7,0.01111
6455,29,7,7,8,0.01111
5855,25,15,9,11,0.01111
3738,13,14,6,13,0.01111
6662,32,8,7,8,0.01111
7153,38,34,3,3,0.01111
6789,34,6,3,2,0.01111
5469,23,22,1,2,0.01111
6661,32,8,7,6,0.01111
3595,12,33,7,13,0.01111
820,3,1,1,14,0.01107
5536,24,1,9,11,0.01107
3513,12,7,12,13,0.01105
7093,37,27,1,3,0.01105
7056,37,8,6,7,0.01105
2171,6,34,12,13,0.01105
6349,28,10,9,11,0.01105
2921,9,11,10,10,0.01105
4367,16,25,6,7,0.01105
2166,6,34,3,2,0.01105
3509,12,7,5,6,0.01105
723,2,23,8,5,0.01103
5918,26,1,7,8,0.01103
7101,37,34,2,1,0.01099
4645,18,9,3,3,0.01099
7100,37,34,1,4,0.01099
6910,34,33,7,13,0.01099
6810,34,8,3,2,0.01099
5098,21,19,13,9,0.01099
4689,18,19,2,1,0.01099
3232,10,19,4,5,0.01099
6640,31,38,3,3,0.01099
1072,3,16,6,3,0.01099
6632,31,31,7,8,0.01099
6911,34,33,12,8,0.01099
2835,8,34,12,13,0.010925
6557,29,27,12,13,0.010925
5057,21,13,5,6,0.010925
4132,15,9,10,10,0.010925
2972,9,23,13,9,0.010925
5988,26,11,7,6,0.010925
4312,16,13,6,7,0.010925
6787,34,6,1,3,0.010925
4670,18,17,1,9,0.010925
716,2,23,3,3,0.01091
49,1,3,1,14,0.01091
331,1,26,7,8,0.01091
5322,23,1,3,3,0.01091
334,1,26,12,13,0.01091
2957,9,21,1,9,0.01087
5268,22,22,5,8,0.01087
6958,35,8,1,4,0.01087
7042,37,6,6,7,0.01087
2164,6,34,1,3,0.01087
661,2,16,6,3,0.01087
6788,34,6,1,4,0.01087
6930,34,35,3,3,0.01087
6957,35,8,1,2,0.01087
6610,31,7,3,3,0.01087
5417,23,10,3,2,0.01087
4323,16,15,6,3,0.01087
6276,27,31,3,3,0.01081
5413,23,10,1,3,0.01081
4340,16,19,3,3,0.01081
5088,21,18,3,3,0.01081
6806,34,8,1,3,0.01081
6953,35,6,1,2,0.01081
3755,13,16,6,7,0.01081
5418,23,10,3,3,0.01081
5906,25,30,10,10,0.01081
5861,25,17,9,11,0.01081
3510,12,7,7,8,0.01081
2303,7,11,7,6,0.01075
309,1,24,9,11,0.01075
4346,16,22,1,2,0.01075
5422,23,10,5,6,0.01075
5426,23,10,13,9,0.01075
6206,27,9,9,11,0.01075
6203,27,9,3,3,0.01075
4516,17,23,5,6,0.01075
572,2,9,1,4,0.01075
2165,6,34,1,4,0.01075
298,1,24,1,2,0.01075
5319,23,1,1,9,0.01071
1519,5,1,1,14,0.01071
186,1,13,3,3,0.01071
7090,37,24,1,2,0.0107
4295,16,9,6,3,0.0107
5415,23,10,1,9,0.0107
6949,35,4,1,2,0.0107
6950,35,4,1,4,0.0107
1290,4,4,3,2,0.0107
2983,9,25,10,10,0.0107
4733,18,29,1,9,0.0107
3707,13,11,7,8,0.010635
4155,15,14,9,11,0.010635
2403,7,29,12,13,0.010635
3532,12,12,12,8,0.010635
2352,7,19,8,5,0.010635
4433,17,7,7,6,0.010635
3229,10,19,3,3,0.010635
6239,27,18,2,1,0.010635
5713,24,22,3,3,0.010635
2337,7,17,7,6,0.010635
4366,16,25,6,3,0.010635
2824,8,33,7,6,0.010635
2825,8,33,7,8,0.010635
2828,8,34,1,4,0.010635
6954,35,6,1,4,0.010635
1527,5,1,9,11,0.0106
3449,11,26,7,6,0.01058
4924,19,24,13,9,0.01058
5183,22,4,4,5,0.01058
5071,21,15,9,11,0.01058
4823,19,9,1,2,0.01058
5509,23,29,13,9,0.01058
2058,6,14,12,13,0.01058
6628,31,27,3,3,0.01058
6541,29,23,13,9,0.01058
3673,13,7,12,13,0.01058
5905,25,29,12,13,0.01058
2836,8,35,1,2,0.01058
6245,27,22,1,2,0.01053
4525,17,25,9,11,0.01053
3529,12,12,7,13,0.01053
2820,8,32,7,6,0.01053
2831,8,34,3,2,0.01053
2821,8,32,7,8,0.01053
5457,23,18,1,9,0.01053
4036,14,26,12,13,0.01053
